Vehicle class,VehicleID,Got a new delay in hours because of traffic jam,Driven without a new delay in hours (no traffic jam)
Car,1,"[3, 7, 8]","[1, 2, 4, 5, 6, 9]"
Car,2,"[7, 8, 9, 10, 15, 16, 17]","[1, 2, 3, 4, 5, 6, 23]"
Car,3,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[1, 2, 3, 4, 5, 6]"
Car,4,"[7, 9, 15, 16]","[1, 2, 3, 4, 5, 6, 8, 19]"
Car,5,"[3, 7, 19, 24]","[1, 2, 4, 5, 6, 11, 12, 16, 22]"
Car,6,"[7, 12, 19, 23]","[1, 2, 3, 4, 5, 6, 11, 15]"
Car,7,"[7, 8, 9, 17, 18, 19, 20]","[1, 2, 4, 5, 6, 14, 16, 23]"
Car,8,"[7, 8, 10, 11, 12, 13, 15, 16, 17]","[1, 2, 3, 4, 5, 6, 9, 14]"
Car,9,"[7, 8, 9]","[1, 2, 3, 4, 5, 6, 14, 15, 16]"
Car,10,"[7, 8, 9]","[1, 2, 3, 4, 5, 6, 10]"
Car,11,"[8, 19]","[1, 2, 3, 4, 6, 16]"
Car,12,"[7, 8, 9, 10, 11, 12, 13, 22, 23, 24]","[1, 2, 3, 4, 5, 6]"
Car,13,"[7, 8, 9, 11, 12, 13, 14, 15, 17]","[1, 2, 3, 4, 5, 6, 10, 16]"
Car,14,"[7, 8, 9, 15]","[1, 2, 3, 4, 5, 6, 10, 11, 17, 23, 24]"
Car,15,"[7, 8, 9, 10]","[1, 2, 3, 4, 5, 6, 15, 16, 17, 23]"
Car,16,"[8, 19]","[1, 2, 4, 5, 6, 21]"
Car,17,"[7, 9, 10, 11, 12, 13, 22, 23, 24]","[1, 2, 3, 4, 5, 6, 8, 14, 21]"
Truck,18,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[1, 2, 3, 4, 5, 6, 8]"
Tram,19,"[7, 8, 9, 10, 13, 16, 17, 18, 21, 23]","[2, 4, 5, 6, 15, 22]"
Bike,87,[7],"[1, 2, 3, 4, 5, 6, 9, 14, 17]"
Truck,64,"[8, 11, 12, 13, 14, 15, 16]","[1, 2, 3, 4, 6, 9, 10, 17]"
Tram,63,"[7, 8, 9, 10, 13, 16, 17, 21, 23]","[1, 3, 4, 5, 18]"
Bike,86,"[7, 17]","[1, 2, 3, 4, 6, 12, 13]"
Truck,66,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[1, 2, 3, 4, 5, 6]"
Tram,54,"[7, 8, 9, 10, 13, 16, 17, 18, 21, 23]","[1, 2, 3, 4, 5, 6, 19]"
Bike,37,"[7, 17]","[1, 2, 3, 4, 5, 6, 16, 18, 20]"
Truck,20,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[1, 2, 3, 4, 6, 19, 24]"
Tram,31,"[7, 8, 9, 10, 16, 17, 18, 23]","[1, 2, 3, 4, 5, 6, 13, 14, 19, 21]"
Bike,90,"[7, 17]","[1, 2, 3, 4, 5, 6, 11, 13, 22, 23]"
Truck,74,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[1, 2, 3, 5, 6, 22]"
Tram,79,"[8, 9, 13, 16, 17, 18, 21, 23]","[1, 2, 3, 4, 5, 6, 7, 10]"
Bike,80,"[7, 17]","[1, 2, 3, 4, 5, 6, 18]"
